1200	1300	1400	2400	2100		410	5		210	4		310	3		605	4		510	3		110	3		210	6		310	6		410	4		107	3	
																																			
1111111	abdulaziz	1/1/2000	700	1200		410	7		210	5		310	7		605	9		510	10		110	5		210	8		310	7		410	6		107	5	
			10	10	10	0	7		0	5		0	7		0	9		0	10		0	5		0	8		0	7		0	6		0	5	99
3333333	yazeed	1/1/2000	700	1400		210	6		110	9		501	6		101	5		404	9		210	6		110	5		404	5		501	9		401	8	
				10		0	0		0	0		0	0		0	0		1	9		0	0		0	0		0	0		0	0		0	0	
5555555	rasheed	1/1/2000	700	5200		401	6		401	7		202	5		303	7		205	8		410	7		505	7		201	9		301	7		201	5	
				0																															
22222222	derham	1/1/2000	700	3500		501	9		501	6		101	9		505	8		102	5		505	3		303	8		101	7		202	5		101	10	
				0																															
22222223	eeeeeeeeeeeee	1/1/2020	700	2200		806	7		107	5		105	7		102	9		103	10		200	5		817	8		800	7		105	6		102	5	
				0																															
22222224	qqqqqqqqqqqqqq	1/1/2020	700	1100		100	7		100	5		100	7		100	9		100	10		100	5		100	8		100	7		100	6		100	5	
				0																															
1300	1300	1400	2200	2400		204	5		402	4		303	3		605	3		101	5		103	7		104	6		105	6		106	4		200	3	
																																			
1111111	abdulaziz	1/1/2000	700	1200		410	7		210	5		310	7		410	9		510	10		110	5		210	8		310	7		410	6		510	5	
3333333	yazeed	1/1/2000	700	1400		210	6		110	9		501	6		101	5		404	9		210	6		110	5		404	5		501	9		401	8	
4444444	bushra	1/1/2000	700	1300		310	5		301	8		401	4		202	6		301	7		303	8		410	8		501	7		110	6		301	9	
5555555	rasheed	1/1/2000	700	5200		401	6		401	7		202	5		303	7		205	8		410	7		505	7		201	9		301	7		201	5	
22222222	derham	1/1/2000	700	3500		501	9		501	6		101	9		505	8		102	5		505	3		303	8		101	7		202	5		101	10	
22222223	eeeeeeeeeeeee	1/1/2020	700	2200		806	7		107	5		105	7		102	9		103	10		200	5		817	8		800	7		105	6		102	5	
22222224	qqqqqqqqqqqqqq	1/1/2020	700	1100		100	7		100	5		100	7		100	9		100	10		100	5		100	8		100	7		100	6		100	5	
																																			
1400	1300	1400	2100	2300		204	5		402	4		303	3		605	4		101	5		100	5		110	6		112	6		114	4		119	3	
																																			
1111111	abdulaziz	1/1/2000	700	1200		410	7		210	5		310	7		410	9		510	10		110	5		210	8		310	7		410	6		510	5	
3333333	yazeed	1/1/2000	700	1400		210	6		110	9		501	6		101	5		404	9		210	6		110	5		404	5		501	9		401	8	
4444444	bushra	1/1/2000	700	1300		310	5		301	8		401	4		202	6		301	7		303	8		410	8		501	7		110	6		301	9	
5555555	rasheed	1/1/2000	700	5200		401	6		401	7		202	5		303	7		205	8		410	7		505	7		201	9		301	7		201	5	
22222222	derham	1/1/2000	700	3500		501	9		501	6		101	9		505	8		102	5		505	3		303	8		101	7		202	5		101	10	
22222223	eeeeeeeeeeeee	1/1/2020	700	2200		806	7		107	5		105	7		102	9		103	10		200	5		817	8		800	7		105	6		102	5	
22222224	qqqqqqqqqqqqqq	1/1/2020	700	1100		100	7		100	5		100	7		100	9		100	10		100	5		100	8		100	7		100	6		100	5	
